Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:05:11,1,1,TRACE1,453.032,273.567,-22.149,-,16.8223,16.8221,16.4578,16.7626,,37.2728,37.0105,36.3255,37.7892,,38.3283,39.0515,37.4023,38.8844,,39.4576,41.9776,38.4861,40.0392,,,63.3569,63.4574,62.1149,,,62.0072,62.3791,60.9889,,,58.8269,61.3054,59.8597,,0.4733,0.4879,0.4564,0.5118,,0.5947,0.5983,0.5670,0.6341,,3.6920,3.7926,3.8601,4.3282,,1.7880,1.7433,1.8319,2.0356,,1.9040,2.0493,2.0282,2.2927,,3.4850,3.3782,3.4783,3.6761,,0.7165,0.8458,0.7448,0.7295,0.6921,0.8842,1.0322,0.9441,0.9102,0.8772,5.5807,6.7946,6.3693,6.6196,5.8804,2.7511,3.4699,3.0745,3.0906,2.8864,2.8296,3.3248,3.2948,3.5290,2.9940,5.3476,6.4859,5.9512,5.7988,5.2904,38.3652,39.4940,37.4058,38.9142,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:05:33,1,1,TRACE2,452.857,270.004,-22.152,-,16.6233,16.2070,16.6990,16.9182,,37.3228,37.0746,36.6343,36.5191,,38.4017,38.1467,37.6777,37.5515,,39.5474,39.2044,38.8357,38.6810,,,63.4769,61.9586,63.9965,,,62.3935,60.8898,62.9560,,,61.2964,59.8038,61.7751,,0.4943,0.4872,0.4710,0.4394,,0.6141,0.6123,0.5845,0.5479,,4.1789,4.4056,3.7091,3.4593,,2.0572,2.3172,1.9398,1.7554,,2.1218,2.0884,1.7694,1.7039,,3.6168,3.7539,3.3981,3.1844,,0.6451,0.6814,0.6210,0.6865,0.6946,0.8093,0.8625,0.7902,0.8716,0.8681,6.8274,6.9640,6.1161,6.5373,6.6289,3.4638,3.5293,3.1360,3.1057,3.3034,3.3636,3.4347,2.9800,3.4316,3.3255,5.4676,5.7794,5.2749,5.8099,5.3247,38.4351,38.1395,37.7350,37.6000,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:05:54,1,1,TRACE3,447.435,273.602,-22.149,-,17.2904,16.4781,16.8668,17.4008,,39.8002,40.2909,39.5806,40.8549,,40.9534,41.4753,40.7518,41.9711,,42.5462,42.7704,42.0330,43.2806,,,59.3505,60.8248,60.6106,,,58.1614,59.6457,59.4537,,,56.7737,58.3842,58.0944,28.5324,0.3920,0.4413,0.4611,0.4365,,0.4898,0.5450,0.5771,0.5405,,3.2215,4.0794,3.9634,3.5842,,1.4243,1.7399,1.8594,1.5666,,1.7972,2.3396,2.1040,2.0177,,2.9070,3.4282,3.4735,3.2712,,0.6939,0.5836,0.6531,0.7516,0.8985,0.8793,0.7364,0.8465,0.9365,1.1153,5.9078,5.5029,6.5163,7.0885,7.5128,2.9120,2.7871,3.1237,3.4133,3.5927,2.9958,2.7158,3.3926,3.6752,3.9201,5.4953,4.9369,5.5580,5.8751,6.2996,41.1732,41.5306,40.8068,42.0678,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:06:16,1,1,TRACE4,443.882,273.863,-22.149,-,16.9674,17.3942,17.3381,17.0451,,39.1196,38.6780,38.8397,39.0737,,40.3352,39.8551,40.0427,40.2718,,41.6832,41.1388,41.4456,41.6625,,,61.2810,59.9015,62.0173,,,60.0998,58.6878,60.8220,,,58.7505,57.4002,59.5131,,0.5759,0.4582,0.5069,0.4703,,0.6971,0.5663,0.6238,0.5832,,4.9965,3.7656,4.0998,3.7306,,2.3885,1.9109,2.0136,1.7941,,2.6080,1.8547,2.0862,1.9365,,4.0609,3.3930,3.7024,3.4582,,0.6729,0.6766,0.6328,0.6035,0.6320,0.8432,0.8458,0.7918,0.7563,0.7926,6.5114,5.8447,5.0284,5.2544,5.4759,3.3316,2.9978,2.4476,2.6350,2.6735,3.1798,2.8469,2.5808,2.6194,2.8024,5.7544,5.2550,4.9176,4.7922,5.1289,40.4014,39.9084,40.1427,40.3681,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:06:37,1,1,TRACE5,452.766,260.877,-22.144,-,16.6173,16.4463,16.9819,16.7645,,59.2180,59.8177,59.5970,59.5017,,61.0390,61.5548,61.3665,61.2818,,63.3393,63.4681,63.9870,63.7947,,,91.1630,88.9963,91.0629,,,89.2637,87.2804,89.2835,,,87.1664,85.0827,86.5438,,0.6255,0.7244,0.5229,0.5851,,0.7556,0.8849,0.6439,0.7234,,4.5580,5.0489,4.0512,4.3961,,2.1542,2.4001,2.0296,2.1490,,2.4038,2.6488,2.0216,2.2471,,4.1846,4.6742,3.7057,4.0922,,0.8203,0.7992,0.7485,0.8290,1.4080,1.0880,0.9898,0.9488,1.0899,1.8213,8.2391,6.5550,6.9539,8.3956,12.4138,4.5317,3.3090,3.4690,4.5450,7.3047,3.7074,3.2460,3.4849,3.8506,5.1090,7.5842,6.2098,6.4341,7.6425,11.1526,61.2786,61.6429,61.7920,61.6482,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:06:59,1,1,TRACE6,451.524,257.220,-22.149,-,16.4782,16.6806,16.2090,16.5345,,59.0500,59.2296,59.8253,60.2782,,60.6882,60.8291,61.5048,61.9397,,62.5531,62.8662,63.4854,64.2323,,,90.3633,91.2474,88.8482,,,88.8134,89.5932,87.1345,,,86.9561,87.6400,84.9880,,0.5631,0.4996,0.5030,0.5289,,0.6836,0.6295,0.6122,0.6505,,3.9637,4.1517,4.1264,3.9637,,1.9658,1.8297,1.8778,1.9196,,1.9979,2.3220,2.2486,2.0441,,3.7062,3.7634,3.3997,3.7381,,0.8028,0.5992,0.6556,0.7662,1.1241,1.0750,0.7496,0.8292,1.0003,1.4626,8.6677,5.3618,5.6947,7.7141,10.3817,4.6858,2.7527,2.8843,4.6086,6.1741,3.9819,2.6091,2.8104,3.1056,4.2076,7.6359,5.1288,5.5733,7.0150,9.7006,60.8016,61.0479,61.6554,62.2552,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:07:20,1,1,TRACE7,447.478,260.602,-22.149,-,16.9506,15.7944,16.6080,16.6442,,60.8579,61.3395,60.4200,59.8823,,62.5152,63.0854,62.2176,61.6754,,64.8772,65.0334,64.9301,64.3901,,,87.8819,91.0003,88.8742,,,86.1214,89.2223,87.0709,,,83.8162,87.0662,84.1972,,0.4334,0.4456,0.4066,0.4030,,0.5325,0.5490,0.5042,0.4984,,3.3075,3.5502,3.5563,3.4249,,1.6823,1.7714,1.6612,1.6463,,1.6252,1.7788,1.8951,1.7786,,3.1338,3.2211,3.0375,3.0638,,0.6737,0.5491,0.6024,0.8289,1.4040,0.8984,0.6924,0.7904,1.1343,1.8284,6.5656,5.0246,7.0253,10.7923,12.6378,3.3155,2.5908,3.7960,5.8168,7.5337,3.2501,2.4338,3.2294,4.9755,5.1041,6.3080,4.7741,6.2154,9.7131,10.9352,62.8675,63.1865,62.6751,62.1362,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:07:42,1,1,TRACE8,443.815,260.834,-22.147,-,16.1366,16.4897,16.8721,16.4407,,61.2368,59.8479,60.3977,62.2025,,63.0213,61.5721,62.0911,64.1790,,65.0819,63.7039,64.5488,66.7414,,,91.3913,89.0556,89.0867,,,89.6393,87.3842,87.2961,,,87.5804,85.2689,84.5623,,0.3968,0.3946,0.4029,0.4051,,0.4926,0.4873,0.4973,0.5081,,3.6046,3.4114,3.8018,3.5770,,1.9678,1.7676,1.8645,1.7342,,1.6368,1.6437,1.9373,1.8428,,3.0279,2.9947,3.0215,3.1865,,0.6476,0.5892,0.6205,0.7121,1.5263,0.8330,0.7638,0.7936,0.9846,2.0057,6.4975,7.4312,6.9500,8.9264,14.4222,3.6250,3.6273,3.8649,4.5061,8.3431,2.8725,3.8040,3.0850,4.4203,6.0792,5.9819,6.1113,5.9131,7.8213,12.6198,63.1593,61.7759,62.4732,64.4720,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:08:03,1,1,TRACE9,452.895,273.563,-22.151,-,16.5478,16.4872,16.0883,16.5609,,37.2074,36.9677,36.5831,37.9637,,38.2370,38.8844,37.6344,38.9948,,39.2600,41.8325,38.6635,40.0652,,,63.4263,63.3092,61.8628,,,62.1617,62.2556,60.7979,,,59.2481,61.1492,59.7308,,0.4413,0.4292,0.3934,0.4618,,0.5414,0.5324,0.4848,0.5726,,4.7629,4.1058,3.3602,3.7782,,1.7536,1.9255,1.6611,1.8056,,3.0092,2.1803,1.6991,1.9726,,3.3875,3.4065,3.0053,3.3591,,0.6396,0.7634,0.6247,0.7086,0.6765,0.8119,0.9697,0.7841,0.8868,0.8546,6.7534,7.2314,5.7605,6.4920,7.4214,3.1504,3.1987,2.4047,2.8030,3.7358,3.6030,4.0328,3.3558,3.6890,3.6856,5.5758,6.7836,5.2195,5.7120,5.5941,38.2337,39.4001,37.6233,39.0145,,
Oberreiner,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_11S-1_BA,2016-06-20 18:08:25,1,1,TRACE10,450.841,270.005,-22.151,-,16.6983,16.1669,16.3795,16.7546,,37.2699,36.8860,36.7424,36.8643,,38.3181,37.9376,37.7467,37.8753,,39.5116,38.9562,38.7898,38.9847,,,63.6510,62.0159,63.8187,,,62.5880,60.9764,62.7974,,,61.4389,59.9552,61.6968,,0.4689,0.4782,0.3997,0.4098,,0.5897,0.5902,0.5027,0.5176,,4.5235,4.1525,3.6548,3.8750,,2.0868,2.0581,1.8477,1.7074,,2.4367,2.0944,1.8071,2.1676,,3.7640,3.6578,3.1576,3.3592,,0.6959,0.6261,0.6864,0.6435,0.6867,0.8645,0.7787,0.8618,0.8094,0.8623,6.5282,5.8971,6.4186,6.0440,6.0929,3.1821,2.7031,2.9854,2.8513,3.0286,3.3461,3.1939,3.4332,3.1927,3.0643,5.4756,5.0746,5.8821,5.5585,5.3767,38.3907,37.9211,37.7661,37.9245,,
