Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:05:47,1,1,TRACE1,433.615,274.969,-22.150,-,16.6619,15.9570,15.9951,16.9326,,31.9761,31.1424,32.0256,30.7673,,32.9440,32.1287,32.9993,31.7664,,34.0180,33.1147,34.0002,32.9046,,,55.5933,55.6595,54.8091,,,54.6132,54.6726,53.8147,,,53.5798,53.6777,52.7276,,0.3770,0.3643,0.3542,0.4732,,0.4696,0.4568,0.4438,0.5734,,3.4274,3.4020,3.0123,3.3394,,1.6125,1.9096,1.5553,1.6559,,1.8148,1.4925,1.4570,1.6835,,2.8663,2.9463,2.7104,3.0972,,0.6826,0.6560,0.7119,0.6334,0.6719,0.8662,0.8354,0.8910,0.7987,0.8379,6.2394,6.3939,6.1475,6.3529,6.0132,2.7338,3.1751,2.8818,2.7368,2.8650,3.5057,3.2188,3.2657,3.6161,3.1482,5.3556,5.6751,5.5294,5.2356,5.2718,32.9970,32.1285,33.0129,31.8360,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:06:08,1,1,TRACE2,433.516,271.823,-22.153,-,16.4263,16.7532,16.7871,16.5539,,36.7040,36.3474,36.0405,35.1109,,37.8422,37.4001,37.0914,36.1504,,39.0059,38.5468,38.2552,37.2144,,,62.9872,64.9050,64.4217,,,61.8727,63.8653,63.3460,,,60.6983,62.7161,62.2045,,0.4346,0.4274,0.3685,0.3933,,0.5435,0.5258,0.4523,0.4869,,3.7845,3.2354,2.9232,3.1041,,1.7347,1.5632,1.3791,1.6008,,2.0498,1.6722,1.5441,1.5033,,3.3029,3.0243,2.6338,2.9145,,0.5699,0.6658,0.7384,0.6908,0.7344,0.7117,0.8425,0.9422,0.8582,0.9160,4.8663,5.5612,6.3419,5.5557,6.0498,2.3937,2.7268,3.0552,2.7403,2.8918,2.4726,2.8345,3.2866,2.8155,3.1580,4.5182,5.2243,6.0374,5.2950,5.4974,37.8549,37.4471,37.1479,36.1626,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:06:30,1,1,TRACE3,439.568,272.229,-22.150,-,16.7044,16.6620,16.5896,16.1702,,35.0221,34.3741,35.4925,34.3996,,36.0602,35.5184,36.5801,35.5211,,37.2318,36.7994,37.7567,36.6688,,,66.1411,64.7779,65.1651,,,65.0818,63.6218,64.0581,,,63.9183,62.3209,62.9164,,0.4513,0.4161,0.4518,0.4435,,0.5475,0.5045,0.5557,0.5471,,3.3777,3.4809,3.9618,3.8589,,1.7596,1.6481,1.9396,1.8241,,1.6180,1.8329,2.0223,2.0348,,3.1597,2.9467,3.1990,3.1852,,0.7229,0.7721,0.6910,0.7012,0.6811,0.9066,0.9726,0.8617,0.8861,0.8507,6.3369,6.1351,6.0887,5.9136,5.9582,3.0951,2.8772,2.9008,2.7400,2.7080,3.2418,3.2580,3.1879,3.1735,3.2503,5.9013,5.8446,5.5247,5.5989,5.7051,36.1270,35.5868,36.6246,35.5342,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:06:51,1,1,TRACE4,443.226,272.438,-22.149,-,16.6744,17.1139,17.2135,16.8492,16.4106,34.0947,33.8526,34.3700,33.6455,,35.2649,35.0034,35.4890,34.7747,,36.6524,36.3821,36.8198,35.9491,,,66.5887,66.4792,65.6138,67.3687,,65.4444,65.3177,64.4898,66.2214,,64.0760,63.9779,63.1912,65.0275,0.4205,0.5024,0.4862,0.5061,0.9936,0.5182,0.6119,0.5939,0.6331,1.3326,3.1813,3.6704,3.5758,4.0335,9.2490,1.5968,1.8198,1.7336,2.0234,2.9424,1.5845,1.8506,1.8422,2.0100,6.3066,3.0733,3.4211,3.4202,3.7692,7.6802,0.6482,0.6780,0.7049,0.7299,0.6915,0.8177,0.8578,0.8821,0.9208,0.8672,5.2505,5.3791,5.5003,5.9130,5.7849,2.5496,2.6199,2.7429,2.9855,2.7110,2.7009,2.7591,2.7574,2.9275,3.0739,5.0595,5.2385,5.2773,5.6401,5.4463,35.3736,35.1173,35.5949,34.7973,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:07:13,1,1,TRACE5,433.534,262.133,-22.143,-,16.4196,16.8187,16.6025,16.6552,,46.2815,48.5968,47.7587,47.5414,,47.6344,49.9373,49.1404,48.9950,,49.2055,51.6353,50.9103,50.8595,,,78.8465,76.1980,78.4060,,,77.5035,74.8492,77.0053,,,75.8353,73.1156,75.2843,33.8218,0.5130,0.5263,0.5010,0.5583,,0.6334,0.6471,0.6234,0.6906,,3.9574,4.0192,4.2883,4.4048,,1.9456,1.9757,2.0151,2.2769,,2.0119,2.0435,2.2732,2.1279,,3.7785,3.8356,3.8708,4.0581,,1.2131,0.6163,0.5896,0.6427,0.6084,1.6347,0.7730,0.7377,0.8198,0.7736,11.1335,4.9316,4.8548,5.4841,5.4826,5.7917,2.4448,2.4028,2.6071,2.6331,5.3419,2.4868,2.4520,2.8769,2.8495,9.5432,4.8030,4.5972,5.2730,4.8102,47.7435,50.1160,49.3345,49.2004,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:07:34,1,1,TRACE6,433.901,262.260,-22.142,-,15.7137,16.7223,16.9587,16.5373,,46.9177,46.2928,49.0630,47.8605,,48.0347,47.6081,50.3738,49.2186,,49.0171,49.3062,52.0589,50.9293,,,,79.4963,78.2156,76.2181,,,,78.1527,76.9328,,,76.5423,75.2676,73.1477,0.4411,0.4707,0.4947,0.4667,,0.5493,0.5905,0.6078,0.5731,,4.2669,4.8887,4.2921,3.7743,,2.1848,2.7178,2.1256,1.9018,,2.0820,2.1709,2.1665,1.8726,,3.6873,4.0230,3.8799,3.4815,,,,,0.5958,0.7639,,,,0.7475,0.9532,,,,5.5022,6.0997,,,,2.5134,2.9115,,,,2.9887,3.1883,,,,5.0275,5.8568,47.9674,47.7995,50.5610,49.3949,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:07:55,1,1,TRACE7,439.636,259.497,-22.137,-,16.7285,16.6990,16.0345,16.8747,,61.4491,62.8026,61.4252,62.5814,,63.3881,64.8347,63.6154,64.6110,,66.0100,67.7481,66.3241,67.4622,,,87.7988,89.1073,89.5367,,,85.7792,87.0258,87.4021,,,82.8545,84.3235,84.6027,,0.3987,0.5141,0.4816,0.4375,,0.4955,0.6376,0.6014,0.5437,,3.3934,4.5063,4.3456,4.1232,,1.7010,2.3880,2.2647,2.2378,,1.6924,2.1183,2.0809,1.8854,,3.0663,3.9099,3.7902,3.5308,,0.5996,0.5026,0.5965,0.5252,0.5549,0.7628,0.6345,0.7549,0.6700,0.7122,6.0171,4.9248,5.5268,5.8133,6.1169,3.0716,2.4142,2.7949,3.0119,3.0933,2.9455,2.5106,2.7319,2.8014,3.0236,5.3910,4.5867,5.1384,5.0494,5.5043,63.7295,65.2753,63.8746,65.0218,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:08:17,1,1,TRACE8,443.301,259.720,-22.137,-,16.4711,16.8443,15.8964,16.5271,,60.1717,60.5684,60.2057,60.8588,,62.1407,62.5622,62.2920,62.9977,,64.7554,65.3319,64.9985,65.7913,,,90.8794,89.5373,91.1226,,,88.8770,87.5516,88.9396,,,86.1960,84.8955,86.1893,,0.4780,0.5539,0.6054,0.6007,,0.5920,0.6811,0.7373,0.7341,,4.1298,4.5222,4.7422,5.1629,,2.1463,2.4617,2.6958,2.8644,,1.9836,2.0605,2.0463,2.2985,,3.6838,4.1530,4.2697,4.3882,,0.6944,0.5751,0.6931,0.6874,0.6127,0.8639,0.7220,0.8548,0.8434,0.7808,6.8254,5.8760,6.6684,7.2676,7.2982,3.5118,2.7695,3.2977,3.6537,3.6050,3.3136,3.1065,3.3707,3.6139,3.6931,5.8935,5.3683,6.2044,6.0741,5.8023,62.4636,62.9502,62.6021,63.3250,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:08:38,1,1,TRACE9,376.590,274.871,-22.156,-,16.7684,16.9161,17.0072,16.9303,,33.6327,33.7870,34.2605,32.5434,,34.7593,34.9245,35.3493,33.6769,,36.0140,36.1990,36.5756,34.8929,,,53.4179,53.3955,52.3768,,,52.2751,52.2993,51.2545,,,50.9802,51.0283,50.0370,,0.5567,0.4578,0.4742,0.4735,,0.6890,0.5644,0.5957,0.5737,,4.6249,3.6096,3.8009,3.8979,,2.4648,1.8216,1.9054,1.9332,,2.1602,1.7881,1.8956,1.9647,,4.0203,3.2802,3.4011,3.3140,,0.6487,0.7402,0.7268,0.7046,0.8029,0.8267,0.9137,0.9109,0.8962,1.0042,5.4129,5.9818,5.7718,6.2037,7.8271,2.7506,2.8988,2.8607,3.1139,4.1861,2.6623,3.0830,2.9111,3.0898,3.6410,5.1187,5.5175,5.5826,5.7918,6.0711,34.8234,34.9930,35.4181,33.7182,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_13S-1_FR,2016-06-21 02:08:59,1,1,TRACE10,377.016,271.321,-22.159,-,16.9713,17.2205,16.8467,17.2723,,37.3032,38.1500,37.7184,32.9435,,38.3882,39.2350,38.7795,34.0015,,39.5477,40.4359,39.9923,35.3230,,,63.5824,62.1510,63.9972,,,62.4892,61.0720,62.9121,,21.5132,61.2966,59.9407,61.7477,,0.5624,0.6919,0.5494,0.4601,,0.6833,0.8139,0.6705,0.5715,,4.2031,4.7102,4.0729,3.9836,,2.1782,2.2261,2.0357,2.1893,,2.0249,2.4841,2.0372,1.7943,,3.7358,4.0848,3.7695,3.4018,,0.6489,0.7875,0.7173,0.6879,0.7179,0.8182,0.9735,0.8894,0.8762,0.8954,6.6236,6.2389,6.5841,6.1442,6.3188,3.2736,3.0584,3.2236,3.0520,2.9005,3.3500,3.1805,3.3605,3.0922,3.4183,5.6354,5.9974,5.7080,5.6404,5.6646,38.4255,39.2930,38.8553,34.1332,,
