Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:14:21,1,1,TRACE1,473.789,256.588,-22.156,-,16.7543,16.9914,16.9079,16.7563,,40.4332,39.5652,39.2402,39.8247,,41.5073,40.6207,40.3212,40.8973,,42.6634,41.7857,41.4533,42.0036,,,58.8234,61.4100,60.6605,,,57.7765,60.3238,59.5739,,,56.6379,59.1495,58.4603,,0.4712,0.4823,0.4201,0.4966,,0.5867,0.5984,0.5218,0.6094,,3.7070,3.7257,3.2869,3.7875,,1.9366,1.8953,1.6860,1.9430,,1.7704,1.8304,1.6009,1.8445,,3.4550,3.5452,3.1288,3.4346,,0.7739,0.6544,0.7967,0.7952,1.0994,0.9603,0.8346,0.9853,0.9982,1.4387,6.1081,5.2363,6.0448,6.1961,9.2543,2.8245,2.6014,2.9365,3.1206,4.6830,3.2836,2.6348,3.1083,3.0756,4.5713,5.6810,5.0434,5.8944,5.9181,8.6087,41.5483,40.6755,40.3468,40.9142,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:14:42,1,1,TRACE2,473.602,253.027,-22.158,-,16.6656,16.8330,16.7136,16.6874,,40.7665,40.6864,40.5821,40.0503,,41.8473,41.7402,41.6336,41.0972,,43.0020,42.8725,42.7721,42.2473,,,60.2108,59.5422,58.6371,,,59.1406,58.4669,57.5810,,,57.9807,57.2777,56.4871,,0.3970,0.4205,0.3751,0.3572,,0.4925,0.5168,0.4617,0.4493,,3.5862,3.7206,3.1125,3.1877,,1.7299,1.7345,1.6645,1.5821,,1.8563,1.9861,1.4481,1.6056,,3.0502,3.1774,2.8051,2.8543,,0.5238,0.6228,0.6353,0.7185,1.2267,0.6705,0.7854,0.8020,0.8995,1.5631,4.5741,5.6140,5.6820,5.7726,9.5576,2.2212,2.6252,2.7597,2.8924,4.6992,2.3530,2.9888,2.9223,2.8802,4.8584,4.3665,5.0632,5.1320,5.5239,9.0423,41.8842,41.7794,41.6771,41.1488,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:15:04,1,1,TRACE3,468.194,256.642,-22.156,-,16.1866,16.6664,16.6094,16.3713,,38.5488,37.8316,37.9468,38.5184,,39.7325,38.9757,39.0753,39.6399,,40.9168,40.1657,40.2732,40.8092,,,62.6458,60.7455,62.2932,,,61.4924,59.5792,61.1512,,,60.3284,58.3294,59.9605,,0.4087,0.4002,0.4112,0.4189,,0.5083,0.4951,0.5080,0.5217,,3.2301,2.9732,3.3728,3.2321,,1.5808,1.5309,1.6485,1.6132,,1.6493,1.4422,1.7244,1.6189,,2.9822,2.8662,3.0219,3.0810,,0.6790,0.6032,0.7001,0.6431,0.6229,0.8635,0.7606,0.8847,0.8124,0.7880,5.5323,4.9909,5.9638,5.2694,5.2313,2.7568,2.4497,2.8605,2.5739,2.5531,2.7755,2.5413,3.1033,2.6955,2.6782,5.2854,4.7951,5.7151,4.9995,5.0022,39.7328,38.9986,39.1100,39.6638,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:15:25,1,1,TRACE4,464.643,256.915,-22.155,-,16.9785,16.7441,16.1775,16.6684,,37.9368,37.2715,38.8688,39.0128,,39.0044,38.4052,40.0268,40.1135,,40.3193,39.7119,41.2341,41.3331,,,62.6405,62.8429,59.8675,,,61.5618,61.6831,58.7188,,,60.2651,60.3956,57.5190,,0.5009,0.4305,0.4528,0.4664,,0.6217,0.5328,0.5640,0.5700,,4.3563,4.0302,3.8691,3.5705,,2.1732,1.8964,1.9172,1.8259,,2.1831,2.1338,1.9520,1.7446,,3.6604,3.2248,3.4431,3.3789,,0.9009,0.6489,0.6304,0.6950,0.6792,1.1083,0.8291,0.7974,0.8702,0.8590,7.5247,5.9570,5.6846,6.6420,5.9973,3.5894,2.8051,2.5246,3.1317,2.8127,3.9353,3.1519,3.1600,3.5103,3.1846,6.8626,5.5058,5.3776,5.7578,5.4225,39.1280,38.4917,40.0514,40.1729,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:15:46,1,1,TRACE5,473.480,243.902,-22.158,-,16.4665,16.6296,16.4920,16.7529,,63.6067,64.6161,64.3458,64.5137,,65.3628,66.2837,66.0513,66.1452,,67.3397,68.4036,68.2250,68.5010,,,85.4825,86.3748,83.8873,,,83.7969,84.6791,82.2254,,,81.8439,82.4777,80.1008,,0.4655,0.4353,0.5157,0.5077,,0.5759,0.5390,0.6321,0.6190,,3.5496,3.5182,4.2203,4.2119,,1.7144,1.6538,1.9666,1.9535,,1.8351,1.8645,2.2537,2.2584,,3.4406,3.2312,3.6491,3.5882,,0.6006,0.5406,0.6665,0.7683,1.5807,0.7472,0.6803,0.8528,1.0390,2.0679,4.9936,4.8700,7.4087,8.8772,14.8418,2.5195,2.4240,3.9485,5.1464,7.8733,2.4741,2.4460,3.4602,3.7308,6.9685,4.8038,4.4848,6.1102,8.0949,12.8213,65.4732,66.5098,66.2854,66.5073,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:16:08,1,1,TRACE6,472.226,240.250,-22.156,-,16.5347,16.3526,16.9523,16.7164,,64.6527,63.7213,63.8788,64.2028,,66.3091,65.3652,65.5087,65.9651,,68.4253,67.3431,67.9565,68.1895,,,86.2694,85.9966,86.7114,,,84.5873,84.3813,85.0224,,,82.5869,82.1322,82.8473,,0.5128,0.4460,0.4173,0.4319,,0.6315,0.5509,0.5235,0.5357,,4.2471,3.4706,3.4136,3.6580,,2.1860,1.8179,1.6970,1.7916,,2.0612,1.6527,1.7165,1.8664,,3.7888,3.1823,3.0808,3.1508,,0.5747,0.6150,0.6167,0.7149,1.4476,0.7559,0.7730,0.7911,0.9166,1.8624,5.6136,5.5309,6.7628,6.7945,13.7497,2.8176,2.7888,3.3384,3.2851,7.2094,2.7960,2.7421,3.4244,3.5094,6.5402,5.3373,5.0854,5.7122,6.3548,11.6326,66.5390,65.5322,65.9177,66.1962,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:16:29,1,1,TRACE7,468.193,243.645,-22.156,-,16.0636,16.8380,16.8023,16.0618,,62.5325,63.1092,63.1134,63.5189,,64.2251,64.7924,64.8338,65.3137,,66.0702,66.9708,67.2457,67.6790,,,87.8546,86.0491,87.5063,,,86.1845,84.3394,85.7636,,,84.1391,82.0342,83.3373,,0.4016,0.4133,0.4719,0.4939,,0.4973,0.5118,0.5843,0.6014,,3.1223,3.2947,4.0112,3.8551,,1.5615,1.6021,1.8915,1.9520,,1.5608,1.6926,2.1197,1.9030,,2.9696,3.1036,3.4947,3.4384,,0.6024,0.5392,0.6597,0.6791,1.0298,0.7878,0.6822,0.8499,0.8824,1.3832,6.0936,4.9282,7.0109,7.5542,10.4954,3.3662,2.4389,3.6024,3.9995,6.1197,2.7274,2.4893,3.4085,3.5547,4.3757,5.6155,4.5656,6.1952,6.7422,9.5660,64.3014,65.0400,65.1796,65.5990,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:16:51,1,1,TRACE8,464.532,243.890,-22.156,-,16.4583,16.8335,16.4065,16.4935,,62.6473,62.7475,62.0375,63.2607,,64.3290,64.4810,63.8439,65.1965,,66.2186,66.8537,66.0856,67.7911,,,87.1648,88.1780,86.7658,,,85.5129,86.4092,84.9329,,,83.4641,84.1515,82.5811,,0.4478,0.3972,0.4921,0.5257,,0.5508,0.4926,0.6063,0.6449,,4.0858,3.6673,4.0480,4.7652,,1.6110,1.8778,1.8762,2.1140,,2.4748,1.7896,2.1718,2.6512,,3.3532,3.0400,3.5349,3.8241,,0.7494,0.5693,0.5752,0.7481,0.9707,0.9762,0.7218,0.7304,0.9865,1.2825,8.0297,6.0998,6.6605,9.1477,10.7554,3.9711,3.1574,3.0337,4.4731,6.0936,4.0585,2.9423,3.6269,4.6746,4.6617,6.9859,5.5568,5.4995,7.7394,9.4353,64.4330,64.8006,64.0616,65.5259,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:17:13,1,1,TRACE9,473.652,256.585,-22.156,-,16.6342,16.8138,16.9418,16.7652,,40.4000,39.5611,39.2775,39.6920,,41.5001,40.6410,40.3071,40.7513,,42.6591,41.7536,41.3834,41.9620,,,58.9519,61.3287,60.6297,,,57.8597,60.2717,59.5830,,,56.7402,59.1493,58.4571,,0.4056,0.3884,0.3859,0.4452,,0.5047,0.4842,0.4739,0.5530,,3.4457,3.6401,3.1183,3.9271,,1.6967,1.8779,1.6522,1.7536,,1.7490,1.7621,1.4661,2.1735,,3.1545,3.1406,2.8201,3.2649,,0.6752,0.6111,0.6703,0.7311,0.9247,0.8387,0.7813,0.8467,0.9141,1.2011,6.0292,6.2028,6.6855,6.6238,9.0065,2.7982,3.0775,3.1449,3.0205,4.3835,3.2310,3.1253,3.5406,3.6033,4.6230,5.2417,5.2407,5.6600,5.8856,7.7651,41.5296,40.6574,40.3305,40.8270,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_13S-6_BA,2016-06-21 03:17:34,1,1,TRACE10,471.587,253.034,-22.156,-,16.7844,16.7282,16.4060,16.6639,,40.6778,40.8908,40.9408,40.1535,,41.7369,41.9546,42.0253,41.1949,,42.8951,43.0982,43.1165,42.3391,,,60.1784,59.1153,58.5491,,,59.1194,58.0509,57.4725,,,57.9364,56.9615,56.3564,,0.4806,0.4598,0.4421,0.4075,,0.6059,0.5660,0.5428,0.5041,,4.1982,3.6908,3.4880,3.2576,,2.1365,1.9413,1.8077,1.7298,,2.0617,1.7496,1.6804,1.5278,,3.7890,3.3263,3.3210,3.0447,,0.7009,0.6430,0.6751,0.7036,0.8209,0.8771,0.8098,0.8543,0.8795,1.0479,5.8310,5.5655,5.7380,5.5974,7.5805,2.9182,2.6887,2.8304,2.7796,3.9105,2.9128,2.8768,2.9076,2.8178,3.6700,5.4347,5.2146,5.3772,5.4439,7.0503,41.7864,41.9945,42.0286,41.2463,,
