Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:25:58,1,1,TRACE1,453.283,272.565,-22.153,-,16.4660,16.5853,16.5847,16.6336,,40.4196,40.0411,40.2497,40.9750,,41.5448,41.1467,41.3887,42.1239,,42.8106,42.5273,42.7699,43.5551,,,60.6324,60.2198,58.7144,,,59.5076,59.1170,57.5493,,,58.1848,57.7424,56.1683,,0.4259,0.4405,0.4538,0.4121,,0.5340,0.5422,0.5735,0.5187,,3.8022,3.8709,3.9968,4.0012,,2.0606,1.9124,2.1811,2.0760,,1.7417,1.9585,1.8156,1.9252,,3.2985,3.2610,3.5348,3.3411,,0.6084,0.6177,0.7363,0.6242,0.8655,0.7697,0.7847,0.9275,0.7950,1.1171,5.5273,5.8314,6.9855,6.4623,8.0010,2.4331,2.6224,3.0609,3.1591,3.6498,3.0942,3.2089,3.9246,3.3032,4.3512,4.9738,5.1719,6.1713,5.4640,6.8533,41.6151,41.2842,41.5098,42.2651,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:26:20,1,1,TRACE2,453.115,269.002,-22.154,-,16.6995,16.4979,16.6554,17.1379,,40.3845,40.7907,40.6559,40.2526,,41.5656,41.9747,41.7949,41.3772,,42.9161,43.3195,43.1224,42.9755,,,59.7514,58.3543,60.2497,,,58.5771,57.1944,59.1026,,,57.2302,55.8761,57.7016,,0.4313,0.4340,0.4730,0.3902,,0.5308,0.5351,0.5933,0.4851,,3.5674,3.2555,3.6128,3.2874,,1.8111,1.6260,1.7744,1.5786,,1.7562,1.6294,1.8384,1.7087,,3.1051,3.1446,3.4267,2.8823,,0.7176,0.6412,0.6620,0.6946,0.7839,0.8915,0.8040,0.8267,0.8569,0.9902,5.7723,5.4572,5.3136,6.0012,6.8432,2.8632,2.6443,2.5876,2.8743,3.4645,2.9091,2.8129,2.7260,3.1269,3.3788,5.2750,5.1062,5.1029,5.4731,6.0951,41.6503,42.0551,41.8891,41.6140,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:26:41,1,1,TRACE3,447.687,272.588,-22.153,-,16.2197,16.6958,16.7687,16.3557,,40.4739,40.1315,40.1384,40.0685,,41.6684,41.2948,41.2852,41.2889,,42.8761,42.6017,42.6860,42.5962,,,58.9440,60.1533,59.8893,,,57.7490,58.9810,58.7202,,,56.5285,57.5832,57.3362,,0.4873,0.4499,0.4432,0.4724,,0.5965,0.5530,0.5460,0.5845,,3.8751,3.5749,3.6049,3.8192,,1.9229,1.7168,1.7507,1.8205,,1.9522,1.8580,1.8543,1.9987,,3.3323,3.2260,3.1871,3.5102,,0.8623,0.7669,0.6407,0.6584,0.6646,1.1007,0.9681,0.8102,0.8241,0.8483,8.2715,6.4848,5.3946,5.5619,5.7176,4.1065,3.0198,2.3982,2.7132,2.6825,4.1650,3.4650,2.9964,2.8487,3.0351,6.7646,6.1800,5.1090,5.1935,5.3613,41.6750,41.3666,41.4122,41.3324,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:27:03,1,1,TRACE4,444.133,272.840,-22.153,-,16.6754,16.9199,16.5610,16.3425,,41.7620,40.4866,40.0620,39.9558,,43.0803,41.5853,41.2114,41.1513,,44.4035,42.8930,42.5338,42.5216,,,59.7419,57.6177,60.8386,,,58.6256,56.4979,59.6727,,,57.3214,55.2041,58.3915,,0.5239,0.4463,0.4944,0.5366,,0.6456,0.5596,0.6179,0.6546,,4.4729,3.7243,3.9381,3.9356,,2.2734,1.8636,1.8577,1.9217,,2.1995,1.8607,2.0805,2.0139,,3.7215,3.4571,3.6506,3.7213,,0.8590,0.6959,0.6788,0.7281,0.6881,1.1570,0.8705,0.8518,0.9082,0.8691,9.2580,5.8398,5.9261,6.2557,5.4162,4.6242,2.6941,2.7543,3.0372,2.6723,4.6338,3.1457,3.1718,3.2185,2.7439,8.2923,5.4699,5.3769,5.6062,5.1353,43.0828,41.6898,41.2979,41.2387,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:27:24,1,1,TRACE5,453.045,259.875,-22.148,-,16.5460,15.9675,16.2409,16.6656,,62.8429,63.1810,62.7936,62.2892,,64.4840,64.7676,64.4031,63.9531,,66.5715,66.4266,66.3900,66.3240,,,87.0985,85.9368,88.1600,,,85.4893,84.3388,86.5656,,,83.6916,82.4617,84.5717,,0.4581,0.4857,0.4790,0.4475,,0.5639,0.6039,0.5937,0.5554,,3.4048,3.8210,3.7852,3.8031,,1.6982,1.7458,1.9074,1.6719,,1.7066,2.0752,1.8779,2.1312,,3.2660,3.5294,3.4629,3.4265,,0.7684,0.5382,0.7155,0.7840,1.4060,0.9728,0.6891,0.9146,1.0583,1.8761,7.2923,4.8167,7.8952,9.2832,12.1091,3.6629,2.4008,4.3779,4.5092,7.4416,3.6294,2.4160,3.5173,4.7740,4.6675,6.5920,4.6820,6.6533,7.9723,11.4456,64.7072,64.8038,64.5918,64.3066,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:27:46,1,1,TRACE6,451.811,256.216,-22.148,-,16.4302,16.7614,16.9142,16.3524,,63.2427,63.6019,63.3515,63.8426,,64.8909,65.1776,64.9363,65.5432,,66.7041,66.9391,67.0612,67.4077,,,86.6866,87.1326,85.1252,,,85.0990,85.5525,83.4655,,,83.3321,83.6388,81.3733,,0.6658,0.5238,0.4169,0.5358,,0.8034,0.6374,0.5161,0.6571,,5.1737,4.0713,3.4736,3.9595,,2.6686,2.0982,1.6786,1.9286,,2.5051,1.9731,1.7950,2.0309,,4.3669,3.5543,3.1193,3.7165,,0.8809,0.7062,0.6617,0.9925,1.5335,1.1344,0.8922,0.8394,1.2878,1.9684,8.0266,6.6058,6.0631,10.7676,15.8080,4.0968,3.5220,3.0061,6.3433,8.9578,3.9299,3.0838,3.0570,4.4242,6.8502,7.3814,6.0932,5.8357,8.6992,13.0560,64.9734,65.2705,65.2064,65.6251,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:28:07,1,1,TRACE7,447.758,259.589,-22.147,-,15.9968,17.1000,17.2419,16.1562,,63.9973,62.2392,63.7475,62.3868,,65.7137,63.8523,65.3549,64.1859,,67.7332,65.9169,67.7092,66.3731,,,86.5461,87.4154,86.1924,,,84.8900,85.8124,84.5060,,,82.9185,83.6050,82.2155,,0.5578,0.4899,0.4991,0.5431,,0.6796,0.6060,0.6118,0.6683,,4.1913,4.1133,4.4117,4.5923,,2.1446,1.8256,1.8797,2.3476,,2.0467,2.2877,2.5321,2.2447,,3.8377,3.6584,3.5230,3.9869,,0.8230,0.6355,0.6465,0.7597,1.1781,1.0873,0.8019,0.8456,1.0225,1.6380,9.6811,7.1550,8.7544,9.8703,16.4144,5.0945,3.9370,4.4146,5.0422,8.9695,4.5866,3.2180,4.3398,4.8281,7.4449,7.6956,6.1560,6.8247,8.3475,11.8042,65.8653,64.0781,65.7284,64.3799,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:28:29,1,1,TRACE8,444.095,259.813,-22.148,-,16.5414,17.1271,16.6428,16.3578,,64.0872,63.5836,63.8098,64.7577,,65.8345,65.3245,65.5506,66.6296,,67.7819,67.6561,67.7706,68.9791,,,86.5522,85.7742,86.0766,,,84.8411,84.0570,84.1785,,,82.7148,81.7535,81.8827,,0.6062,0.4787,0.5301,0.6377,,0.7390,0.5837,0.6479,0.7772,,4.5449,3.3499,3.8946,4.4133,,2.2091,1.5903,1.8998,2.0689,,2.3358,1.7596,1.9948,2.3444,,4.0792,3.2349,3.7152,4.1518,,1.0324,0.7417,0.7194,0.7477,1.2860,1.3233,0.9280,0.9163,0.9748,1.6503,9.4778,6.0223,6.9464,7.6232,11.5240,4.9775,3.0710,3.5569,4.2930,6.8280,4.5003,2.9513,3.3894,3.3301,4.6961,8.2991,5.8158,6.3932,6.8444,10.1687,65.9345,65.6199,65.7902,66.8684,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:28:50,1,1,TRACE9,453.146,272.561,-22.154,-,16.3666,16.5523,16.5881,16.6897,,40.3218,39.9691,40.2914,40.9716,,41.4321,41.0883,41.4078,42.1058,,42.6699,42.4695,42.7775,43.4862,,,60.7200,60.1727,58.5971,,,59.6224,59.0437,57.4832,,,58.3257,57.6453,56.1567,,0.3880,0.4257,0.4695,0.4544,,0.4814,0.5249,0.5810,0.5565,,3.7396,3.7056,3.5413,3.7136,,1.8421,1.6673,1.7979,1.8104,,1.8974,2.0383,1.7435,1.9032,,3.0038,3.2431,3.3199,3.2338,,0.6105,0.6217,0.6445,0.6846,0.8812,0.7722,0.7886,0.8179,0.8585,1.1202,5.0778,5.6086,6.0316,6.1514,7.3783,2.4916,2.6915,2.9944,2.9810,3.3686,2.5862,2.9170,3.0372,3.1703,4.0097,4.7491,5.0827,5.5433,5.4645,6.5086,41.4958,41.2193,41.5344,42.2289,,
Tomevi,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Vorab_1A-1_BA,2016-06-18 01:29:12,1,1,TRACE10,451.100,268.998,-22.154,-,16.4914,16.3067,16.3693,17.0586,,40.6584,41.0226,40.7318,40.5744,,41.7335,42.1151,41.8046,41.6250,,42.9684,43.2783,42.9546,42.8886,,,59.5124,58.3443,60.1381,,,58.4294,57.2539,59.0838,,,57.2762,56.0765,57.9100,,0.3874,0.4181,0.4176,0.4214,,0.4831,0.5198,0.5283,0.5207,,3.5871,3.5545,3.9796,3.5795,,1.6246,1.6774,1.8961,1.7063,,1.9625,1.8771,2.0835,1.8732,,3.0164,3.2163,3.3900,3.0914,,0.5641,0.6349,0.6474,0.6500,0.7285,0.7145,0.7973,0.8142,0.8236,0.9275,5.2166,5.5880,6.0341,6.1399,7.1599,2.6677,2.6153,2.9563,2.7019,3.5044,2.5489,2.9727,3.0778,3.4379,3.6555,4.5292,5.0064,5.3294,5.3910,5.9807,41.8134,42.1505,41.8432,41.7315,,
