Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:53:32,1,1,TRACE1,412.335,259.641,-22.156,-,16.2802,16.6855,16.6895,16.1434,,32.7130,31.2916,30.8958,32.5695,,33.9402,32.4683,32.0648,33.7587,,35.4151,33.9859,33.5622,35.2188,,,54.6326,57.6703,55.0587,,,53.4150,56.5260,53.8470,,,51.8390,55.0964,52.3427,,0.4339,0.3501,0.4281,0.3775,,0.5322,0.4353,0.5226,0.4785,,3.5330,3.0641,3.6633,3.4805,,1.7140,1.4117,2.0782,1.9978,,1.8190,1.6524,1.5851,1.4828,,3.2470,2.7060,3.0133,3.0807,,0.6700,0.7967,0.6847,0.7018,0.7914,0.8492,0.9801,0.8707,0.8831,0.9936,5.9237,6.3378,5.7006,5.7855,6.5209,2.5003,3.1096,2.8439,2.7608,3.0319,3.4234,3.2282,2.8567,3.0247,3.4890,5.5867,5.8270,5.4655,5.3654,6.0419,34.0640,32.6387,32.2290,33.8942,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:53:54,1,1,TRACE2,412.232,256.495,-22.156,-,16.3182,16.1059,16.6376,17.0113,,37.2861,37.0873,37.4289,37.8966,,38.4321,38.3113,38.6134,39.0625,,39.7786,39.7305,40.2289,40.7816,,,63.8554,61.5894,63.0563,,,62.6516,60.3948,61.8527,,,61.2965,58.8993,60.1953,,0.3852,0.3853,0.3610,0.3846,,0.4814,0.4767,0.4568,0.4791,,3.3584,3.1291,3.0565,3.3985,,1.6542,1.5475,1.3799,1.5456,,1.7043,1.5815,1.6765,1.8529,,3.0221,2.8565,2.8512,2.8642,,0.6358,0.6733,0.7018,0.7617,0.8778,0.8037,0.8470,0.8829,0.9627,1.1165,5.4419,5.6146,6.0184,6.0618,7.3952,2.5916,2.6738,2.7105,2.9944,3.5374,2.8503,2.9408,3.3078,3.0674,3.8578,5.0373,5.1599,5.6339,5.9300,6.5158,38.5324,38.4089,38.8289,39.3391,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:54:15,1,1,TRACE3,418.283,256.894,-22.157,-,17.0066,16.4947,16.2845,16.7436,,35.5965,35.6115,36.1446,34.9238,,36.7232,36.7941,37.3479,36.0778,,38.1411,38.0507,38.5793,37.3677,,,64.7387,64.7252,65.4564,,,63.6026,63.5193,64.2584,,,62.2923,62.2989,63.0031,,0.3906,0.4080,0.3897,0.4073,,0.4851,0.5038,0.4839,0.5051,,3.1423,3.4356,3.5316,3.4089,,1.6740,1.5409,1.6704,1.6569,,1.4682,1.8947,1.8612,1.7520,,2.9116,3.0455,2.9799,3.1052,,0.7843,0.6398,0.6213,0.6138,0.6015,0.9950,0.8053,0.7918,0.7708,0.7620,6.2764,5.5120,5.1852,5.1257,5.5147,3.1884,2.6283,2.4455,2.3250,2.5754,3.0880,2.8837,2.7398,2.8007,2.9394,5.9224,5.1453,4.9359,4.9617,4.9734,36.8688,36.8311,37.3619,36.1457,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:54:37,1,1,TRACE4,421.941,257.100,-22.157,-,16.6627,16.5624,16.3978,16.4670,,35.6612,35.3580,36.1336,35.0821,,36.8294,36.4738,37.2571,36.2284,,38.1472,37.6993,38.4907,37.4178,,,65.1195,63.6497,64.8800,,,63.9423,62.5169,63.7641,,,62.6064,61.3149,62.5465,,0.4176,0.4339,0.4731,0.4103,,0.5171,0.5398,0.5830,0.5125,,3.5485,3.4756,3.8702,4.5304,,1.7412,1.6670,1.9010,2.3376,,1.8072,1.8086,1.9692,2.1928,,3.1920,3.2058,3.5023,3.5560,,0.5632,0.6477,0.6310,0.6790,0.6359,0.7070,0.8123,0.7924,0.8549,0.8043,4.8300,5.2312,6.6713,6.9948,6.0656,2.4160,2.4356,3.5462,3.5351,2.6736,2.4141,2.7956,3.1251,3.4597,3.3920,4.4294,4.9994,5.6075,5.6623,5.4075,36.9042,36.5287,37.3122,36.2500,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:54:59,1,1,TRACE5,412.240,246.807,-22.147,-,16.6841,16.1820,16.5968,16.5243,,49.0924,47.8032,48.7938,48.8243,,50.3460,49.1110,50.0652,50.1649,,52.1122,50.6333,51.6880,51.8192,,,77.8475,77.9866,75.6245,,,76.5710,76.6896,74.3325,,,75.0097,75.1311,72.7206,,0.4936,0.4277,0.4414,0.4192,,0.6122,0.5342,0.5535,0.5167,,5.4739,3.9544,3.9053,3.5561,,2.6918,1.9753,2.0668,1.7848,,2.7821,1.9791,1.8385,1.7714,,4.0246,3.5698,3.5309,3.2075,,0.8084,0.6481,0.7266,0.6524,0.6647,1.0198,0.8086,0.9064,0.8272,0.8278,7.3663,5.8508,6.5065,5.4986,5.3155,3.7135,2.8207,3.1824,2.5859,2.6607,3.6527,3.0301,3.3241,2.9128,2.6548,6.0528,5.2836,5.7072,5.2521,4.9778,50.6023,49.2183,50.2409,50.3217,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:55:20,1,1,TRACE6,412.607,246.934,-22.147,-,16.9317,16.2444,16.1417,16.9175,,47.8965,48.3113,47.6664,48.4063,,49.1306,49.6315,48.9831,49.6654,,50.9043,51.2142,50.4401,51.4366,,,76.1906,78.2412,78.5823,,,74.8954,76.9196,77.3077,,,73.2339,75.4882,75.7331,,0.4717,0.5069,0.4443,0.4340,,0.5909,0.6313,0.5549,0.5435,,4.3636,4.4374,3.8686,4.2416,,2.0873,2.2921,1.9158,1.9837,,2.2763,2.1453,1.9528,2.2579,,3.9064,4.0437,3.6420,3.6219,,0.9178,0.7101,0.6535,0.6389,0.7239,1.1791,0.8888,0.8279,0.8079,0.9150,8.0090,6.7731,6.4335,6.6318,6.1428,3.9917,3.0716,3.0690,2.8896,3.0366,4.0172,3.7015,3.3645,3.7422,3.1062,7.0584,5.8642,5.5162,5.7525,5.5047,49.4004,49.7628,49.0532,49.9214,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:55:42,1,1,TRACE7,418.337,244.165,-22.145,-,16.9166,16.4673,16.3602,16.8908,,62.5730,62.1440,61.5602,61.9843,,64.3944,64.0894,63.4431,63.8583,,66.8068,66.4560,65.7284,66.3072,,,87.3293,88.8060,87.7267,,,85.4398,86.8752,85.8689,,,83.0534,84.6187,83.4808,,0.5026,0.5142,0.5095,0.4942,,0.6209,0.6327,0.6386,0.6103,,4.0473,4.1641,4.4868,4.2279,,2.0418,2.0765,2.2179,1.9143,,2.0056,2.0875,2.2689,2.3136,,3.6907,3.7827,4.0768,3.7039,,0.6214,0.6085,0.5422,0.5682,0.5404,0.7758,0.7575,0.6906,0.7111,0.6861,5.3428,5.2657,4.9200,4.9929,5.9280,2.6760,2.6265,2.5176,2.4074,3.1976,2.6668,2.6391,2.4024,2.5855,2.7304,5.0224,4.6873,4.6334,4.7099,5.0538,64.6899,64.3000,63.6443,64.1458,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:56:03,1,1,TRACE8,422.002,244.384,-22.145,-,16.6137,16.4329,16.0810,16.7147,,60.3969,60.9489,60.8226,60.7884,,62.2476,62.9237,62.8108,62.6836,,64.7221,65.4620,65.1676,65.2939,,,90.8221,88.3396,91.1816,,,88.8850,86.4041,89.2514,,,86.3223,84.0647,86.7611,,0.4514,0.4734,0.5446,0.4600,,0.5635,0.5876,0.6751,0.5736,,4.2511,4.4683,5.0235,4.2187,,2.0316,2.1315,2.3549,2.0824,,2.2195,2.3368,2.6686,2.1363,,3.6872,3.7848,4.2290,3.8137,,0.5249,0.5353,0.5612,0.5144,0.5687,0.6660,0.6715,0.7062,0.6443,0.7206,5.3081,5.1259,5.7841,5.1847,6.1061,2.5048,2.3935,3.0306,2.4888,2.9466,2.8033,2.7324,2.7535,2.6959,3.1596,4.6753,4.6430,4.9798,4.5024,5.2656,62.5595,63.2054,62.9951,63.0411,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:56:25,1,1,TRACE9,355.322,259.604,-22.157,-,16.6949,16.3032,16.2972,16.8751,,34.2073,32.7154,32.0562,34.0347,,35.5265,34.0209,33.3914,35.3201,,37.8738,36.2492,35.5844,37.7441,,,53.2556,56.3097,53.8461,,,51.9346,55.0186,52.5098,,,49.6233,53.0153,50.2238,,0.3936,0.4063,0.4013,0.3925,,0.4921,0.4990,0.5002,0.4874,,3.6913,3.2290,3.3842,3.1690,,1.8222,1.5758,1.5781,1.4646,,1.8691,1.6532,1.8060,1.7044,,3.1198,2.9081,2.9953,2.8976,,0.6090,0.6800,0.6853,0.7273,0.7521,0.7682,0.8706,0.8630,0.9034,0.9572,5.8035,6.1929,6.4697,6.6439,7.4187,2.6364,2.8328,3.0249,2.7360,3.0535,3.1671,3.3601,3.4448,3.9079,4.3653,5.2657,5.6310,5.6999,5.8628,5.8922,36.0406,34.4823,33.8203,35.8894,,
Tomevi,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Vorab_3A-6_FR,2016-06-18 02:56:46,1,1,TRACE10,355.744,256.055,-22.159,-,16.5758,16.4815,16.8811,16.7965,,39.2258,37.4688,37.3728,33.8295,,40.5091,38.7698,38.6012,35.0164,,42.4291,40.6218,40.4807,36.6417,,,59.9045,63.2953,63.8364,,,58.5981,62.0340,62.5962,,,56.7436,60.2162,60.7851,,0.4717,0.4106,0.4874,0.4231,,0.5805,0.5135,0.6096,0.5321,,3.6336,3.1940,3.8427,3.3217,,1.7884,1.5902,1.9512,1.6651,,1.8452,1.6039,1.8916,1.6565,,3.3840,3.0364,3.5259,3.1596,,0.7304,0.7465,0.7118,0.7226,0.7197,0.9149,0.9276,0.8741,0.9037,0.9096,6.9520,6.0998,5.9827,5.7946,6.0919,3.4604,2.9364,2.9270,2.9061,3.0857,3.4917,3.1634,3.0557,2.8885,3.0063,5.7523,5.7590,5.3471,5.4925,5.6671,40.8274,39.0453,38.9268,35.2356,,
